osmid,y,x,street_count,highway,geometry
289738748,46.7837504,23.6440002,3,,POINT (23.6440002 46.7837504)
289738874,46.7867002,23.642506,4,,POINT (23.642506 46.7867002)
289738971,46.7863143,23.6597004,3,,POINT (23.6597004 46.7863143)
289738975,46.7869943,23.656802,3,,POINT (23.656802 46.7869943)
289738977,46.7867282,23.6539726,4,,POINT (23.6539726 46.7867282)
289738978,46.7865197,23.6527412,3,,POINT (23.6527412 46.7865197)
289738979,46.786539,23.6510395,3,,POINT (23.6510395 46.786539)
289738980,46.7865829,23.650982,3,,POINT (23.650982 46.7865829)
289738983,46.7870605,23.647822,3,,POINT (23.647822 46.7870605)
289738984,46.7872147,23.6471779,4,,POINT (23.6471779 46.7872147)
289739060,46.7800149,23.632503,3,,POINT (23.632503 46.7800149)
289739061,46.7812261,23.6321907,3,,POINT (23.6321907 46.7812261)
289739576,46.7800878,23.6140513,3,,POINT (23.6140513 46.7800878)
289739874,46.7696243,23.5690418,3,,POINT (23.5690418 46.7696243)
289740183,46.7693993,23.5684691,4,,POINT (23.5684691 46.7693993)
289741372,46.7596985,23.6093831,3,,POINT (23.6093831 46.7596985)
289741427,46.7594422,23.6090622,3,,POINT (23.6090622 46.7594422)
289741428,46.7610961,23.6062086,3,,POINT (23.6062086 46.7610961)
289865450,46.760503,23.614031,4,,POINT (23.614031 46.760503)
289865452,46.7639706,23.6124949,4,,POINT (23.6124949 46.7639706)
289865627,46.7531928,23.5907886,3,,POINT (23.5907886 46.7531928)
291695991,46.7691386,23.5987954,3,,POINT (23.5987954 46.7691386)
291696003,46.7687643,23.5976315,3,,POINT (23.5976315 46.7687643)
291696302,46.7756223,23.5943436,4,,POINT (23.5943436 46.7756223)
291904107,46.7648835,23.5703725,3,,POINT (23.5703725 46.7648835)
291905088,46.7516621,23.5613003,1,,POINT (23.5613003 46.7516621)
291905529,46.7622127,23.5919167,2,,POINT (23.5919167 46.7622127)
291907390,46.76363,23.5951058,1,,POINT (23.5951058 46.76363)
291907391,46.7628972,23.5953836,3,,POINT (23.5953836 46.7628972)
291907690,46.7560719,23.5728137,1,,POINT (23.5728137 46.7560719)
291908079,46.742751,23.5715468,3,,POINT (23.5715468 46.742751)
291908088,46.7452019,23.5695738,3,,POINT (23.5695738 46.7452019)
291908093,46.746258,23.56934,4,,POINT (23.56934 46.746258)
291909172,46.7683063,23.5866347,3,,POINT (23.5866347 46.7683063)
291910522,46.7473688,23.5558704,1,,POINT (23.5558704 46.7473688)
291910844,46.7725022,23.5874773,3,,POINT (23.5874773 46.7725022)
291911345,46.7510011,23.5800461,3,,POINT (23.5800461 46.7510011)
291911347,46.7498251,23.5807395,3,,POINT (23.5807395 46.7498251)
291911353,46.7487401,23.5816064,3,,POINT (23.5816064 46.7487401)
291911354,46.7480364,23.5821382,3,,POINT (23.5821382 46.7480364)
291911356,46.7474254,23.582551,3,,POINT (23.582551 46.7474254)
291911357,46.7463117,23.5833308,4,,POINT (23.5833308 46.7463117)
291911358,46.7455199,23.5839705,3,,POINT (23.5839705 46.7455199)
291911362,46.7448724,23.5844777,3,,POINT (23.5844777 46.7448724)
291911383,46.7426691,23.585704,3,,POINT (23.585704 46.7426691)
291911398,46.7382291,23.5868488,3,,POINT (23.5868488 46.7382291)
291911400,46.7378964,23.5871815,3,,POINT (23.5871815 46.7378964)
291911404,46.7358161,23.588111,3,,POINT (23.588111 46.7358161)
291911726,46.7610977,23.5973858,3,,POINT (23.5973858 46.7610977)
291911787,46.7640519,23.5980891,3,,POINT (23.5980891 46.7640519)
291912813,46.754753,23.5898678,3,,POINT (23.5898678 46.754753)
291912915,46.763809,23.5769971,2,,POINT (23.5769971 46.763809)
291912916,46.7629128,23.5778254,3,,POINT (23.5778254 46.7629128)
291913147,46.7582991,23.5879566,3,,POINT (23.5879566 46.7582991)
291913219,46.7595795,23.5897357,3,,POINT (23.5897357 46.7595795)
291913293,46.7584498,23.5791362,3,,POINT (23.5791362 46.7584498)
291913294,46.7585247,23.5791504,2,,POINT (23.5791504 46.7585247)
291913343,46.7590838,23.5783851,3,,POINT (23.5783851 46.7590838)
291913371,46.7590964,23.5808558,3,,POINT (23.5808558 46.7590964)
291913375,46.7602195,23.5807183,3,,POINT (23.5807183 46.7602195)
291913376,46.7608806,23.5810238,3,,POINT (23.5810238 46.7608806)
291913455,46.7588977,23.5807511,3,,POINT (23.5807511 46.7588977)
291913532,46.7517379,23.5777917,3,,POINT (23.5777917 46.7517379)
