y,x,street_count,highway,ref,junction,geometry
25.0856299,121.5495059,3,,,,POINT (121.5495059 25.0856299)
25.0852649,121.55021,3,traffic_signals,,,POINT (121.55021 25.0852649)
25.0858121,121.552693,4,traffic_signals,,,POINT (121.552693 25.0858121)
25.0844233,121.5607823,3,,,,POINT (121.5607823 25.0844233)
25.0836509,121.5613165,3,,,,POINT (121.5613165 25.0836509)
25.0837753,121.5594137,3,,,,POINT (121.5594137 25.0837753)
25.0834495,121.5522868,4,traffic_signals,,,POINT (121.5522868 25.0834495)
25.0819507,121.5525632,4,,,,POINT (121.5525632 25.0819507)
25.0799364,121.5532421,4,traffic_signals,,,POINT (121.5532421 25.0799364)
25.0799261,121.5544036,4,traffic_signals,,,POINT (121.5544036 25.0799261)
25.0827079,121.551221,4,traffic_signals,,,POINT (121.551221 25.0827079)
25.0826191,121.5606494,4,traffic_signals,,,POINT (121.5606494 25.0826191)
25.0799329,121.5585044,3,traffic_signals,,,POINT (121.5585044 25.0799329)
25.0051306,121.5677603,3,traffic_signals,,,POINT (121.5677603 25.0051306)
24.9683628,121.5879784,3,,,,POINT (121.5879784 24.9683628)
24.9680137,121.5806683,3,,,,POINT (121.5806683 24.9680137)
24.9706112,121.5798962,3,,,,POINT (121.5798962 24.9706112)
24.9726351,121.5680565,3,,,,POINT (121.5680565 24.9726351)
24.9763088,121.5580586,3,,,,POINT (121.5580586 24.9763088)
24.9795013,121.5662482,3,,,,POINT (121.5662482 24.9795013)
25.0550919,121.6166831,4,traffic_signals,,,POINT (121.6166831 25.0550919)
25.0656787,121.6109522,3,traffic_signals,,,POINT (121.6109522 25.0656787)
25.0658159,121.6109465,4,traffic_signals,,,POINT (121.6109465 25.0658159)
25.0552049,121.6165932,4,traffic_signals,,,POINT (121.6165932 25.0552049)
25.0568502,121.6166531,4,,,,POINT (121.6166531 25.0568502)
25.0656705,121.6108659,4,traffic_signals,,,POINT (121.6108659 25.0656705)
25.0649864,121.6079716,3,,,,POINT (121.6079716 25.0649864)
