osmid,y,x,street_count,highway,ref,junction,railway,geometry
4565655744,47.4622613,19.0031703,3,,,,,POINT (19.0031703 47.4622613)
4567182174,47.4682109,18.9863354,3,,,,,POINT (18.9863354 47.4682109)
4567182186,47.4664818,18.9860695,4,,,,,POINT (18.9860695 47.4664818)
4567700445,47.4496839,19.0332802,3,,,,,POINT (19.0332802 47.4496839)
4567706817,47.5440322,19.1283163,3,,,,,POINT (19.1283163 47.5440322)
4567706818,47.5445589,19.127332,3,,,,,POINT (19.127332 47.5445589)
4569661400,47.4781895,18.9842099,3,,,,,POINT (18.9842099 47.4781895)
4569700378,47.4769455,18.9727646,1,,,,,POINT (18.9727646 47.4769455)
4572178593,47.4754604,18.9764095,1,,,,,POINT (18.9764095 47.4754604)
4572183999,47.4489228,19.0289541,3,,,,,POINT (19.0289541 47.4489228)
4572184027,47.4528198,19.0286074,3,,,,,POINT (19.0286074 47.4528198)
4575329429,47.4460357,19.045582,3,,,,,POINT (19.045582 47.4460357)
4575337340,47.5446703,19.0353401,3,,,,,POINT (19.0353401 47.5446703)
4575337344,47.5447436,19.0349454,4,traffic_signals,,,,POINT (19.0349454 47.5447436)
4575337347,47.54463,19.0349097,3,,,,,POINT (19.0349097 47.54463)
4575910480,47.4477069,19.0446247,3,,,,,POINT (19.0446247 47.4477069)
4578191915,47.4832016,19.1789021,2,,,,,POINT (19.1789021 47.4832016)
4578191916,47.483303,19.1836124,2,,,,,POINT (19.1836124 47.483303)
4583070202,47.5994153,19.0397498,3,,,,,POINT (19.0397498 47.5994153)
4583070203,47.5993299,19.0400325,1,,,,,POINT (19.0400325 47.5993299)
4584153290,47.4495308,19.0361261,1,,,,,POINT (19.0361261 47.4495308)
4584715693,47.4620582,19.0481873,3,traffic_signals,,,,POINT (19.0481873 47.4620582)
4589099821,47.5470083,18.934465,1,,,,,POINT (18.934465 47.5470083)
4589425200,47.4443628,19.0454829,3,,,,,POINT (19.0454829 47.4443628)
4589506396,47.4477554,19.0459762,3,,,,,POINT (19.0459762 47.4477554)
4590087196,47.5359391,19.2445049,3,,,,,POINT (19.2445049 47.5359391)
4591243234,47.5186497,19.204545,3,,,,,POINT (19.204545 47.5186497)
4592741843,47.3962398,19.1059276,4,,,,,POINT (19.1059276 47.3962398)
4597064653,47.4459128,19.0409256,3,,,,,POINT (19.0409256 47.4459128)
4597133371,47.4684761,19.024394,3,,,,,POINT (19.024394 47.4684761)
4597133378,47.468529,19.024346,3,,,,,POINT (19.024346 47.468529)
4597133379,47.4675011,19.0240967,3,,,,,POINT (19.0240967 47.4675011)
4597133380,47.4674906,19.0242416,3,,,,,POINT (19.0242416 47.4674906)
4597133381,47.4676185,19.0241228,3,,,,,POINT (19.0241228 47.4676185)
4597133388,47.4670911,19.0241535,3,,,,,POINT (19.0241535 47.4670911)
4599012382,47.4538356,19.1670017,3,,,,,POINT (19.1670017 47.4538356)
4599012383,47.4531241,19.1678156,3,,,,,POINT (19.1678156 47.4531241)
4599012384,47.4545965,19.1683542,3,,,,,POINT (19.1683542 47.4545965)
4599012388,47.4537538,19.1697046,3,,,,,POINT (19.1697046 47.4537538)
4599012392,47.4531667,19.16939,3,,,,,POINT (19.16939 47.4531667)
4599012398,47.4540191,19.1678619,1,,,,,POINT (19.1678619 47.4540191)
4599012400,47.4538188,19.1680773,1,,,,,POINT (19.1680773 47.4538188)
4599012401,47.453858,19.167814,3,,,,,POINT (19.167814 47.453858)
4599012402,47.4534579,19.1674102,3,,,,,POINT (19.1674102 47.4534579)
4599012652,47.4608727,19.1598598,1,,,,,POINT (19.1598598 47.4608727)
