osmid,y,x,street_count,highway,ref,railway,geometry
251563964,39.552313,2.6121244,4,,,,POINT (2.6121244 39.552313)
251563966,39.552137,2.6123808,3,,,,POINT (2.6123808 39.552137)
251563968,39.5520441,2.6125926,3,crossing,,,POINT (2.6125926 39.5520441)
251563970,39.5519693,2.6126157,3,,,,POINT (2.6126157 39.5519693)
251563997,39.5536853,2.6049618,4,traffic_signals,,,POINT (2.6049618 39.5536853)
251679108,39.5759395,2.6478426,4,,,,POINT (2.6478426 39.5759395)
251679110,39.5749003,2.6482911,3,,,,POINT (2.6482911 39.5749003)
251679113,39.5758047,2.6471648,4,,,,POINT (2.6471648 39.5758047)
251679116,39.5756681,2.6462713,4,,,,POINT (2.6462713 39.5756681)
251679123,39.5760919,2.6486215,4,,,,POINT (2.6486215 39.5760919)
251679126,39.5762991,2.6496725,4,,,,POINT (2.6496725 39.5762991)
251679128,39.5764473,2.6504188,4,,,,POINT (2.6504188 39.5764473)
251679130,39.5765827,2.6511003,4,,,,POINT (2.6511003 39.5765827)
251679134,39.5771458,2.648274,3,,,,POINT (2.648274 39.5771458)
251679136,39.576616,2.6484408,4,,,,POINT (2.6484408 39.576616)
251679139,39.5764499,2.6476398,3,,,,POINT (2.6476398 39.5764499)
251679141,39.5768334,2.6494773,4,,,,POINT (2.6494773 39.5768334)
251679143,39.5770132,2.6503427,3,,,,POINT (2.6503427 39.5770132)
251679146,39.5772157,2.6493472,4,,,,POINT (2.6493472 39.5772157)
251679150,39.5756299,2.6498949,3,,,,POINT (2.6498949 39.5756299)
251679164,39.5751944,2.6521482,3,,,,POINT (2.6521482 39.5751944)
251679171,39.5773194,2.6510104,3,,,,POINT (2.6510104 39.5773194)
251679174,39.5772773,2.6503083,4,,,,POINT (2.6503083 39.5772773)
251679176,39.5761166,2.650458,4,,,,POINT (2.650458 39.5761166)
251679178,39.5750889,2.6505869,2,,,,POINT (2.6505869 39.5750889)
251679182,39.5778258,2.6509486,3,,,,POINT (2.6509486 39.5778258)
251679184,39.5762191,2.6511443,4,,,,POINT (2.6511443 39.5762191)
251679189,39.5760111,2.6497699,3,,,,POINT (2.6497699 39.5760111)
251679191,39.5786026,2.6523431,4,,,,POINT (2.6523431 39.5786026)
251679193,39.5781983,2.6534466,4,,,,POINT (2.6534466 39.5781983)
251679196,39.5779346,2.6541662,4,,,,POINT (2.6541662 39.5779346)
251679202,39.5779719,2.652351,3,,,,POINT (2.652351 39.5779719)
251679204,39.5776837,2.6531311,4,,,,POINT (2.6531311 39.5776837)
251679206,39.5774498,2.6537721,4,,,,POINT (2.6537721 39.5774498)
251679209,39.5781259,2.6512038,1,,,,POINT (2.6512038 39.5781259)
251679213,39.578317,2.649982,3,,,,POINT (2.649982 39.578317)
251679216,39.5746235,2.6407219,5,,,,POINT (2.6407219 39.5746235)
251679218,39.5745186,2.6418655,3,,,,POINT (2.6418655 39.5745186)
251679220,39.5744529,2.6425811,3,,,,POINT (2.6425811 39.5744529)
251679223,39.5743871,2.6434586,3,,,,POINT (2.6434586 39.5743871)
251679225,39.5745915,2.6435243,3,,,,POINT (2.6435243 39.5745915)
251679227,39.5750599,2.6429229,4,,,,POINT (2.6429229 39.5750599)
251679230,39.573329,2.6417862,4,,,,POINT (2.6417862 39.573329)
251679232,39.573774,2.6406498,4,,,,POINT (2.6406498 39.573774)
251679235,39.5755691,2.6423029,4,,,,POINT (2.6423029 39.5755691)
251679238,39.5761219,2.6418094,4,,,,POINT (2.6418094 39.5761219)
251679240,39.5764797,2.6414889,3,,,,POINT (2.6414889 39.5764797)
251679243,39.5761962,2.6408836,4,,,,POINT (2.6408836 39.5761962)
251679245,39.575682,2.6408332,4,,,,POINT (2.6408332 39.575682)
251679247,39.5764781,2.6425997,4,,,,POINT (2.6425997 39.5764781)
251679253,39.5770825,2.6439269,3,,,,POINT (2.6439269 39.5770825)
251679263,39.5767725,2.6432337,4,,,,POINT (2.6432337 39.5767725)
251679265,39.5772267,2.6430534,4,,,,POINT (2.6430534 39.5772267)
251679268,39.574508,2.6419808,3,,,,POINT (2.6419808 39.574508)
251679271,39.575543,2.6422653,3,,,,POINT (2.6422653 39.575543)
251689122,39.6005608,2.6734844,3,,,,POINT (2.6734844 39.6005608)
251689129,39.5977811,2.6756942,3,,,,POINT (2.6756942 39.5977811)
251689141,39.5987238,2.675254,3,motorway_junction,2B,,POINT (2.675254 39.5987238)
251689163,39.5979843,2.6744395,3,,,,POINT (2.6744395 39.5979843)
251689173,39.5993356,2.6745411,3,,,,POINT (2.6745411 39.5993356)
251801439,39.5742383,2.6400978,4,,,,POINT (2.6400978 39.5742383)
251801440,39.5739119,2.6395664,4,,,,POINT (2.6395664 39.5739119)
251801443,39.5731153,2.638129,4,,,,POINT (2.638129 39.5731153)
251801447,39.5737909,2.6396962,3,,,,POINT (2.6396962 39.5737909)
251801448,39.5730511,2.6405659,5,,,,POINT (2.6405659 39.5730511)
251801449,39.5726216,2.6416054,4,,,,POINT (2.6416054 39.5726216)
251801451,39.5728229,2.6393062,4,,,,POINT (2.6393062 39.5728229)
251801454,39.5713774,2.6387342,4,,,,POINT (2.6387342 39.5713774)
251801455,39.5709303,2.6385526,4,,,,POINT (2.6385526 39.5709303)
251801456,39.5730024,2.6385836,4,,,,POINT (2.6385836 39.5730024)
251801459,39.5715485,2.6380045,4,,,,POINT (2.6380045 39.5715485)
251801460,39.5711033,2.637827,3,,,,POINT (2.637827 39.5711033)
251801461,39.5725997,2.637627,1,,,,POINT (2.637627 39.5725997)
251801462,39.5721686,2.6374528,4,,,,POINT (2.6374528 39.5721686)
251801463,39.5717229,2.6372717,4,,,,POINT (2.6372717 39.5717229)
