osmid,y,x,street_count,highway,ref,junction,railway,geometry
272438052,52.4887083,13.3379672,1,turning_circle,,,,POINT (13.3379672 52.4887083)
272438054,52.489942,13.3384181,3,,,,,POINT (13.3384181 52.489942)
272438066,52.4898234,13.3421403,3,,,,,POINT (13.3421403 52.4898234)
272438067,52.4913748,13.3436785,3,,,,,POINT (13.3436785 52.4913748)
272446729,52.4293006,13.2278541,1,,,,,POINT (13.2278541 52.4293006)
272468835,52.4704081,13.2900955,3,,,,,POINT (13.2900955 52.4704081)
272468837,52.4710462,13.2909918,3,,,,,POINT (13.2909918 52.4710462)
272468839,52.4700247,13.2922245,4,,,,,POINT (13.2922245 52.4700247)
272468842,52.4694099,13.2954744,4,,,,,POINT (13.2954744 52.4694099)
272468844,52.4689302,13.2979695,3,,,,,POINT (13.2979695 52.4689302)
272472131,52.4677079,13.3066844,3,,,,,POINT (13.3066844 52.4677079)
272472133,52.4680573,13.3033448,4,,,,,POINT (13.3033448 52.4680573)
272472135,52.4675782,13.3063134,4,,,,,POINT (13.3063134 52.4675782)
272474713,52.4685518,13.3003005,3,,,,,POINT (13.3003005 52.4685518)
272474722,52.4653443,13.3000868,3,,,,,POINT (13.3000868 52.4653443)
272476877,52.5742826,13.400028,3,,,,,POINT (13.400028 52.5742826)
272477082,52.468576,13.2783063,4,,,,,POINT (13.2783063 52.468576)
272477085,52.4683801,13.2765711,4,,,,,POINT (13.2765711 52.4683801)
272477086,52.4680192,13.2734744,4,,,,,POINT (13.2734744 52.4680192)
272482321,52.6394705,13.2711558,1,turning_circle,,,,POINT (13.2711558 52.6394705)
272483201,52.6449182,13.286532,3,,,,,POINT (13.286532 52.6449182)
272483704,52.6469059,13.2865033,2,,,,,POINT (13.2865033 52.6469059)
272593914,52.455719,13.2906735,3,,,,,POINT (13.2906735 52.455719)
272632805,52.6093829,13.3119892,1,,,,,POINT (13.3119892 52.6093829)
272783011,52.5417989,13.1594251,3,,,,,POINT (13.1594251 52.5417989)
272820885,52.4066067,13.251971,1,,,,,POINT (13.251971 52.4066067)
273094253,52.5222621,13.4638019,4,,,,,POINT (13.4638019 52.5222621)
273094449,52.5208802,13.4673457,3,,,,,POINT (13.4673457 52.5208802)
273094877,52.5236189,13.4644601,3,,,,,POINT (13.4644601 52.5236189)
273095167,52.4498738,13.1421477,3,,,,,POINT (13.1421477 52.4498738)
273106104,52.4272721,13.355531,3,,,,,POINT (13.355531 52.4272721)
273109539,52.4962883,13.6220276,3,,,,,POINT (13.6220276 52.4962883)
273109948,52.4975516,13.6187115,3,,,,,POINT (13.6187115 52.4975516)
273113928,52.5764414,13.4182035,4,,,,,POINT (13.4182035 52.5764414)
273115997,52.4493025,13.1403144,3,,,,,POINT (13.1403144 52.4493025)
273116002,52.4491378,13.1397706,4,,,,,POINT (13.1397706 52.4491378)
273116007,52.4476028,13.1409861,1,turning_circle,,,,POINT (13.1409861 52.4476028)
273116026,52.4478135,13.1419338,1,,,,,POINT (13.1419338 52.4478135)
273117934,52.4588709,13.1564541,3,,,,,POINT (13.1564541 52.4588709)
