y,x,street_count,highway,railway,ref,junction,geometry
41.6956948,12.5241906,3,,,,,POINT (12.5241906 41.6956948)
41.7103395,12.5769569,3,,,,,POINT (12.5769569 41.7103395)
41.8899552,12.4940038,3,,,,,POINT (12.4940038 41.8899552)
41.8892673,12.4934365,4,,,,,POINT (12.4934365 41.8892673)
41.8956147,12.5472253,3,,,,,POINT (12.5472253 41.8956147)
41.8934883,12.5477772,3,,,,,POINT (12.5477772 41.8934883)
41.8937489,12.4818504,3,crossing,,,,POINT (12.4818504 41.8937489)
41.8886504,12.480457,3,,,,,POINT (12.480457 41.8886504)
41.8917755,12.4774828,3,,,,,POINT (12.4774828 41.8917755)
41.8923761,12.4774491,3,,,,,POINT (12.4774491 41.8923761)
41.8926914,12.4765508,3,,,,,POINT (12.4765508 41.8926914)
41.8918817,12.4764908,3,,,,,POINT (12.4764908 41.8918817)
41.8936201,12.4757088,3,,,,,POINT (12.4757088 41.8936201)
41.892257,12.4755638,4,,,,,POINT (12.4755638 41.892257)
41.8928542,12.4751324,4,traffic_signals,,,,POINT (12.4751324 41.8928542)
41.8921731,12.4763485,3,,,,,POINT (12.4763485 41.8921731)
41.8923732,12.4748732,3,,,,,POINT (12.4748732 41.8923732)
41.9060611,12.4589207,4,,,,,POINT (12.4589207 41.9060611)
41.9054082,12.4684369,4,,,,,POINT (12.4684369 41.9054082)
41.9064126,12.4612995,3,,,,,POINT (12.4612995 41.9064126)
41.9068931,12.4675447,4,,,,,POINT (12.4675447 41.9068931)
41.9061497,12.4645893,3,,,,,POINT (12.4645893 41.9061497)
41.9062519,12.4679175,4,,,,,POINT (12.4679175 41.9062519)
41.9058396,12.4621578,4,,,,,POINT (12.4621578 41.9058396)
41.9072608,12.4732515,3,,,,,POINT (12.4732515 41.9072608)
41.9050444,12.4733381,4,,,,,POINT (12.4733381 41.9050444)
41.9065666,12.470558,4,,,,,POINT (12.470558 41.9065666)
41.9087029,12.4709752,3,,,,,POINT (12.4709752 41.9087029)
41.9058577,12.4721554,4,,,,,POINT (12.4721554 41.9058577)
41.9059189,12.4713184,4,,,,,POINT (12.4713184 41.9059189)
41.9057889,12.4707319,3,,,,,POINT (12.4707319 41.9057889)
41.905145,12.4720605,3,,,,,POINT (12.4720605 41.905145)
41.9066239,12.4713984,4,,,,,POINT (12.4713984 41.9066239)
41.9077331,12.4723768,3,,,,,POINT (12.4723768 41.9077331)
41.9081963,12.4597039,4,,,,,POINT (12.4597039 41.9081963)
41.9092925,12.4641617,3,,,,,POINT (12.4641617 41.9092925)
41.9156265,12.4536025,4,,,,,POINT (12.4536025 41.9156265)
41.9099916,12.4492411,3,,,,,POINT (12.4492411 41.9099916)
41.9071728,12.4707133,4,,,,,POINT (12.4707133 41.9071728)
41.9067074,12.4722653,4,,,,,POINT (12.4722653 41.9067074)
41.8900014,12.4969876,3,,,,,POINT (12.4969876 41.8900014)
41.8870807,12.5046256,6,,,,,POINT (12.5046256 41.8870807)
41.8870216,12.5063018,3,,,,,POINT (12.5063018 41.8870216)
41.8867182,12.5086095,3,,,,,POINT (12.5086095 41.8867182)
41.8872264,12.5150391,4,,,,,POINT (12.5150391 41.8872264)
41.8879387,12.5180619,3,traffic_signals,,,,POINT (12.5180619 41.8879387)
41.8849954,12.5220926,4,traffic_signals,,,,POINT (12.5220926 41.8849954)
41.8836908,12.5228824,4,traffic_signals,,,,POINT (12.5228824 41.8836908)
41.8823591,12.5232291,3,,,,,POINT (12.5232291 41.8823591)
41.8818538,12.5229346,3,,,,,POINT (12.5229346 41.8818538)
41.8814116,12.5222158,3,,,,,POINT (12.5222158 41.8814116)
41.8809541,12.5226979,4,,,,,POINT (12.5226979 41.8809541)
41.8794863,12.5218125,4,traffic_signals,,,,POINT (12.5218125 41.8794863)
41.8536415,12.5678753,4,traffic_signals,,,,POINT (12.5678753 41.8536415)
41.8379701,12.5901033,3,,,,,POINT (12.5901033 41.8379701)
41.8283574,12.6225848,3,,,,,POINT (12.6225848 41.8283574)
41.9005273,12.4962519,4,,,,,POINT (12.4962519 41.9005273)
41.9053842,12.4985698,3,,,,,POINT (12.4985698 41.9053842)
41.9042155,12.5000025,4,,,,,POINT (12.5000025 41.9042155)
41.903151,12.5002379,3,,,,,POINT (12.5002379 41.903151)
41.8813088,12.4867008,3,,,,,POINT (12.4867008 41.8813088)
41.8821764,12.4865019,4,,,,,POINT (12.4865019 41.8821764)
41.8824227,12.4864184,3,,,,,POINT (12.4864184 41.8824227)
41.8805152,12.4855491,3,,,,,POINT (12.4855491 41.8805152)
41.8799722,12.4847013,3,,,,,POINT (12.4847013 41.8799722)
41.8791082,12.4851155,4,,,,,POINT (12.4851155 41.8791082)
41.8845855,12.489056,3,,,,,POINT (12.489056 41.8845855)
41.8848926,12.4892002,4,,,,,POINT (12.4892002 41.8848926)
41.8897518,12.4954513,3,,,,,POINT (12.4954513 41.8897518)
41.8893311,12.4967937,5,,,,,POINT (12.4967937 41.8893311)
41.8882839,12.4949366,4,,,,,POINT (12.4949366 41.8882839)
41.8888021,12.4951178,4,,,,,POINT (12.4951178 41.8888021)
41.8890725,12.4937147,4,,,,,POINT (12.4937147 41.8890725)
41.8885248,12.4964926,4,,,,,POINT (12.4964926 41.8885248)
41.8880152,12.4963225,4,,,,,POINT (12.4963225 41.8880152)
41.8884549,12.4940146,3,,,,,POINT (12.4940146 41.8884549)
41.889721,12.4983846,4,,,,,POINT (12.4983846 41.889721)
41.88751,12.4961537,4,,,,,POINT (12.4961537 41.88751)
41.8872789,12.4974414,3,,,,,POINT (12.4974414 41.8872789)
41.888156,12.4977503,1,,,,,POINT (12.4977503 41.888156)
41.8110551,12.5756802,3,,,,,POINT (12.5756802 41.8110551)
41.8149021,12.5754714,3,,,,,POINT (12.5754714 41.8149021)
