osmid,y,x,street_count,highway,ref,railway,junction,geometry
47998437,50.1066562,8.549124,3,,,,,POINT (8.549124 50.1066562)
47998442,50.1065642,8.5494405,3,,,,,POINT (8.5494405 50.1065642)
47998447,50.1068091,8.5485162,4,,,,,POINT (8.5485162 50.1068091)
48046819,50.1165385,8.5417094,3,,,,,POINT (8.5417094 50.1165385)
48046954,50.1154326,8.5351726,3,,,,,POINT (8.5351726 50.1154326)
48047006,50.1144733,8.5421547,3,,,,,POINT (8.5421547 50.1144733)
48047019,50.1140769,8.5412345,3,,,,,POINT (8.5412345 50.1140769)
48047031,50.1136895,8.5403351,3,,,,,POINT (8.5403351 50.1136895)
48047041,50.113248,8.5393101,3,,,,,POINT (8.5393101 50.113248)
48047478,50.1153124,8.5414992,1,,,,,POINT (8.5414992 50.1153124)
48047493,50.1157889,8.539724,4,,,,,POINT (8.539724 50.1157889)
48047624,50.1161799,8.5407462,4,,,,,POINT (8.5407462 50.1161799)
48047635,50.1148196,8.539095,3,,,,,POINT (8.539095 50.1148196)
48047640,50.1154557,8.5386882,4,,,,,POINT (8.5386882 50.1154557)
48047661,50.1143574,8.5383939,3,,,,,POINT (8.5383939 50.1143574)
48047672,50.1145864,8.5382881,3,,,,,POINT (8.5382881 50.1145864)
48047677,50.1144844,8.5378651,3,,,,,POINT (8.5378651 50.1144844)
48047686,50.1142599,8.5380125,3,,,,,POINT (8.5380125 50.1142599)
48047693,50.1150653,8.5374591,3,,,,,POINT (8.5374591 50.1150653)
48047708,50.1136894,8.5371032,3,,,,,POINT (8.5371032 50.1136894)
48047718,50.1145467,8.5361793,4,,,,,POINT (8.5361793 50.1145467)
48070008,50.1130146,8.5317493,3,,,,,POINT (8.5317493 50.1130146)
48070016,50.1127191,8.5309485,3,,,,,POINT (8.5309485 50.1127191)
48070035,50.1119237,8.5296276,3,,,,,POINT (8.5296276 50.1119237)
48070067,50.1116708,8.5296841,3,,,,,POINT (8.5296841 50.1116708)
48070080,50.1126054,8.528839,1,,,,,POINT (8.528839 50.1126054)
48070183,50.1110727,8.5312418,3,,,,,POINT (8.5312418 50.1110727)
48070192,50.1108946,8.5316264,3,,,,,POINT (8.5316264 50.1108946)
48070221,50.1106986,8.5320145,3,,,,,POINT (8.5320145 50.1106986)
48070238,50.1104668,8.5325046,3,,,,,POINT (8.5325046 50.1104668)
48070283,50.1096561,8.5333288,4,,,,,POINT (8.5333288 50.1096561)
48070291,50.1090296,8.5340818,3,,,,,POINT (8.5340818 50.1090296)
48070310,50.110027,8.536216,3,,,,,POINT (8.536216 50.110027)
48070325,50.1108981,8.5382648,3,,,,,POINT (8.5382648 50.1108981)
48070332,50.1106424,8.5355716,3,,,,,POINT (8.5355716 50.1106424)
48070339,50.1101937,8.5345601,3,,,,,POINT (8.5345601 50.1101937)
48070344,50.1121535,8.5325506,3,,,,,POINT (8.5325506 50.1121535)
48070394,50.1107358,8.5304743,1,,,,,POINT (8.5304743 50.1107358)
48070499,50.1097133,8.5320685,1,,,,,POINT (8.5320685 50.1097133)
48077727,50.1092172,8.5401598,4,,,,,POINT (8.5401598 50.1092172)
48077732,50.1098612,8.5414166,3,,,,,POINT (8.5414166 50.1098612)
48077760,50.1121248,8.5430537,3,,,,,POINT (8.5430537 50.1121248)
48077779,50.1127899,8.5412328,3,crossing,,,,POINT (8.5412328 50.1127899)
