osmid,highway,lanes,maxspeed,name,oneway,width,reversed,length,geometry,ref,access,bridge,junction,tunnel,area
31665901,tertiary,2,RO:urban,Strada Dunării,False,,True,181.60847575039182,"LINESTRING (23.6393511 46.7780061, 23.6388174 46.7779104, 23.6386631 46.7778827, 23.6383526 46.7778401, 23.6382328 46.7778236, 23.6374797 46.7777084, 23.6370277 46.7776392)",,,,,,
"[525510184, 171984088]",residential,2,RO:urban,Strada Harghita,False,,True,108.77910445976622,"LINESTRING (23.6393511 46.7780061, 23.6388635 46.7788786, 23.6388419 46.7789201)",,,,,,
43104043,secondary,2,RO:urban,Strada Aurel Vlaicu,True,,False,32.25601255404432,"LINESTRING (23.6400734 46.7819587, 23.6403935 46.7819608, 23.640497 46.7819615)",DJ105S,,,,,
46248250,secondary,3,RO:urban,Strada Aurel Vlaicu,False,,False,35.998422698712886,"LINESTRING (23.6400734 46.7819587, 23.639827 46.7819454, 23.6396021 46.7819332)",DJ105S,,,,,
"[389666507, 43104044]",secondary,2,RO:urban,Calea Someșeni,False,,False,132.62893507279404,"LINESTRING (23.6401431 46.782422, 23.6395255 46.7826568, 23.6392504 46.7827657, 23.6386291 46.7830117)",DJ105S,,,,,
335172266,secondary,1,RO:urban,Calea Someșeni,True,,False,41.18420994981568,"LINESTRING (23.6401431 46.782422, 23.6402191 46.782369, 23.64025 46.7823483, 23.640313 46.7823065, 23.6403331 46.7822902, 23.6403512 46.7822723, 23.6403643 46.7822567, 23.6403754 46.7822395, 23.6403957 46.7822029, 23.6404176 46.7821607, 23.6404377 46.7821204)",DJ105S,,,,,
411062203,residential,,RO:urban,Strada Cernei,True,,False,61.0308739499819,"LINESTRING (23.6237444 46.7822025, 23.6234879 46.7827225)",,,,,,
800357226,residential,1,RO:urban,Strada Teleorman,True,,False,69.95893389731407,"LINESTRING (23.6237444 46.7822025, 23.6241102 46.7822818, 23.6244468 46.7823571, 23.6246161 46.7824009)",,,,,,
411062202,residential,,RO:urban,Strada Cernei,False,,True,52.43073471922565,"LINESTRING (23.6234879 46.7827225, 23.6231309 46.7831257)",,,,,,
31585876,residential,1,RO:urban,Strada Cernei,True,,False,127.82928765914153,"LINESTRING (23.6234879 46.7827225, 23.62358 46.7827443, 23.6236678 46.7827657, 23.6239491 46.7828288, 23.6243217 46.7828994, 23.6243478 46.7828989, 23.624369 46.7828878, 23.6243792 46.7828664, 23.6246161 46.7824009)",,,,,,
