osmid,y,x,highway,street_count,ref,junction,geometry
301884958,40.3872187,-3.7375764,,4,,,POINT (-3.7375764 40.3872187)
301884961,40.3881005,-3.7373318,,4,,,POINT (-3.7373318 40.3881005)
301884962,40.3893649,-3.737427,,4,,,POINT (-3.737427 40.3893649)
301884963,40.389893,-3.7374916,,3,,,POINT (-3.7374916 40.389893)
301884966,40.3896426,-3.7391569,,3,,,POINT (-3.7391569 40.3896426)
301884967,40.3890393,-3.7390849,,3,,,POINT (-3.7390849 40.3890393)
301884970,40.3903687,-3.7379575,,3,,,POINT (-3.7379575 40.3903687)
301885017,40.3911153,-3.7373413,,4,,,POINT (-3.7373413 40.3911153)
301885025,40.3905819,-3.7378047,,4,,,POINT (-3.7378047 40.3905819)
301885039,40.3916106,-3.73694,,4,,,POINT (-3.73694 40.3916106)
301885044,40.3900044,-3.7350991,,4,,,POINT (-3.7350991 40.3900044)
301885049,40.3897862,-3.7352886,,3,,,POINT (-3.7352886 40.3897862)
301885057,40.393171,-3.7359457,,4,,,POINT (-3.7359457 40.393171)
301885059,40.3934072,-3.7359664,,3,,,POINT (-3.7359664 40.3934072)
301885062,40.392741,-3.7399764,,3,,,POINT (-3.7399764 40.392741)
301890906,40.3855594,-3.7374625,,3,,,POINT (-3.7374625 40.3855594)
301890950,40.3868195,-3.7343262,,3,,,POINT (-3.7343262 40.3868195)
301890953,40.3867133,-3.7344931,,3,,,POINT (-3.7344931 40.3867133)
301891073,40.3828665,-3.7300236,,3,,,POINT (-3.7300236 40.3828665)
301891129,40.3820062,-3.7266105,,3,,,POINT (-3.7266105 40.3820062)
301891130,40.3815916,-3.7271038,,3,,,POINT (-3.7271038 40.3815916)
301891133,40.382227,-3.7303205,,3,,,POINT (-3.7303205 40.382227)
301891134,40.3818314,-3.7283097,,3,,,POINT (-3.7283097 40.3818314)
301891137,40.3836229,-3.7278209,,4,,,POINT (-3.7278209 40.3836229)
301891139,40.3846722,-3.7278125,,3,,,POINT (-3.7278125 40.3846722)
301891142,40.3844944,-3.7286874,,3,,,POINT (-3.7286874 40.3844944)
301891180,40.383632,-3.7265064,,4,,,POINT (-3.7265064 40.383632)
301891183,40.3848322,-3.7262385,,3,,,POINT (-3.7262385 40.3848322)
301891184,40.3857476,-3.7259987,traffic_signals,4,,,POINT (-3.7259987 40.3857476)
301891359,40.385622,-3.7279607,,4,,,POINT (-3.7279607 40.385622)
301891476,40.3878028,-3.731283,,4,,,POINT (-3.731283 40.3878028)
301891481,40.3852116,-3.7218103,crossing,4,,,POINT (-3.7218103 40.3852116)
301891541,40.3850208,-3.7216204,traffic_signals,3,,,POINT (-3.7216204 40.3850208)
301891543,40.383846,-3.7202468,,3,,,POINT (-3.7202468 40.383846)
301891544,40.38382,-3.7206059,traffic_signals,4,,,POINT (-3.7206059 40.38382)
301891545,40.3858959,-3.7267048,,3,,,POINT (-3.7267048 40.3858959)
301891562,40.3853983,-3.7236072,,4,,,POINT (-3.7236072 40.3853983)
301891611,40.385098,-3.7282989,,4,,,POINT (-3.7282989 40.385098)
301891613,40.3856546,-3.7316995,,4,,,POINT (-3.7316995 40.3856546)
301891614,40.3872168,-3.7337248,,3,,,POINT (-3.7337248 40.3872168)
301891615,40.3861843,-3.7336723,,3,,,POINT (-3.7336723 40.3861843)
301891617,40.3866653,-3.7330216,,4,,,POINT (-3.7330216 40.3866653)
301891618,40.3870487,-3.7325281,,3,,,POINT (-3.7325281 40.3870487)
301891626,40.387414,-3.731848,,4,,,POINT (-3.731848 40.387414)
301891631,40.3879484,-3.7286136,,4,,,POINT (-3.7286136 40.3879484)
301891633,40.3876421,-3.7270749,,4,,,POINT (-3.7270749 40.3876421)
301891636,40.3872563,-3.7255914,,3,,,POINT (-3.7255914 40.3872563)
301891639,40.3870157,-3.7232123,,4,,,POINT (-3.7232123 40.3870157)
301891641,40.3866701,-3.7215044,,3,,,POINT (-3.7215044 40.3866701)
301891681,40.3839454,-3.7238252,,3,,,POINT (-3.7238252 40.3839454)
301891683,40.384139,-3.7239082,traffic_signals,3,,,POINT (-3.7239082 40.384139)
301891694,40.3903216,-3.7234172,,5,,,POINT (-3.7234172 40.3903216)
301891699,40.394221,-3.7210142,,3,,,POINT (-3.7210142 40.394221)
301891703,40.3922662,-3.7225858,,4,,,POINT (-3.7225858 40.3922662)
301891706,40.3900381,-3.7217967,,3,,,POINT (-3.7217967 40.3900381)
301891709,40.3823125,-3.7281695,,4,,,POINT (-3.7281695 40.3823125)
301891712,40.3871085,-3.7356161,,4,,,POINT (-3.7356161 40.3871085)
301891765,40.3861492,-3.7323427,,3,,,POINT (-3.7323427 40.3861492)
301891767,40.3866092,-3.7317186,,4,,,POINT (-3.7317186 40.3866092)
301891769,40.3870708,-3.7310965,,4,,,POINT (-3.7310965 40.3870708)
301891771,40.3874788,-3.7305737,,3,,,POINT (-3.7305737 40.3874788)
301891809,40.3878889,-3.7327049,,3,,,POINT (-3.7327049 40.3878889)
301891844,40.386642,-3.7301777,,4,,,POINT (-3.7301777 40.386642)
301891846,40.3865197,-3.7298018,,3,,,POINT (-3.7298018 40.3865197)
301891850,40.3860429,-3.727792,,3,,,POINT (-3.727792 40.3860429)
301891852,40.385503,-3.7273272,,3,,,POINT (-3.7273272 40.385503)
301891855,40.3859488,-3.7299468,,3,,,POINT (-3.7299468 40.3859488)
301891858,40.385963,-3.7300428,,3,,,POINT (-3.7300428 40.385963)
301891860,40.3854033,-3.730223,,4,,,POINT (-3.730223 40.3854033)
301891862,40.3849051,-3.7302299,,4,,,POINT (-3.7302299 40.3849051)
301891863,40.3841878,-3.7299496,,3,,,POINT (-3.7299496 40.3841878)
301891865,40.384696,-3.7287318,,3,,,POINT (-3.7287318 40.384696)
301891867,40.3846711,-3.7285752,,3,,,POINT (-3.7285752 40.3846711)
301891869,40.3848185,-3.7307171,,3,,,POINT (-3.7307171 40.3848185)
301891870,40.385096,-3.7307982,,3,,,POINT (-3.7307982 40.385096)
301891872,40.3855037,-3.7308367,,4,,,POINT (-3.7308367 40.3855037)
301891881,40.3870043,-3.7294839,traffic_signals,3,,,POINT (-3.7294839 40.3870043)
301891887,40.3885175,-3.7283597,,4,,,POINT (-3.7283597 40.3885175)
301891888,40.3911584,-3.7270588,,3,,,POINT (-3.7270588 40.3911584)
301891981,40.3922277,-3.7309345,,3,,,POINT (-3.7309345 40.3922277)
301891982,40.392229,-3.7311402,,3,,,POINT (-3.7311402 40.392229)
301891983,40.3921997,-3.7334135,,3,,,POINT (-3.7334135 40.3921997)
301891985,40.3908491,-3.733864,,3,,,POINT (-3.733864 40.3908491)
301999428,40.3808264,-3.7308269,,3,,,POINT (-3.7308269 40.3808264)
301999431,40.3810372,-3.7307186,,3,,,POINT (-3.7307186 40.3810372)
301999435,40.3808467,-3.7280387,,3,,,POINT (-3.7280387 40.3808467)
301999436,40.3810243,-3.7278204,,3,,,POINT (-3.7278204 40.3810243)
301999450,40.3818453,-3.730659,,3,,,POINT (-3.730659 40.3818453)
301999457,40.3809861,-3.7303647,,3,,,POINT (-3.7303647 40.3809861)
301999480,40.3816921,-3.7300042,,4,,,POINT (-3.7300042 40.3816921)
301999481,40.382088,-3.7296743,,3,,,POINT (-3.7296743 40.382088)
301999482,40.3803123,-3.7328561,,3,,,POINT (-3.7328561 40.3803123)
301999484,40.380137,-3.7320327,,3,,,POINT (-3.7320327 40.380137)
301999485,40.3807312,-3.7329231,,3,,,POINT (-3.7329231 40.3807312)
301999486,40.382006,-3.732032,,4,,,POINT (-3.732032 40.382006)
301999487,40.3830951,-3.7317284,,4,,,POINT (-3.7317284 40.3830951)
301999528,40.3846024,-3.7328357,,4,,,POINT (-3.7328357 40.3846024)
301999529,40.3845401,-3.7334696,,3,,,POINT (-3.7334696 40.3845401)
301999545,40.383192,-3.7332773,,3,,,POINT (-3.7332773 40.383192)
301999548,40.3833308,-3.732645,,4,,,POINT (-3.732645 40.3833308)
301999549,40.3835201,-3.7318801,,4,,,POINT (-3.7318801 40.3835201)
301999551,40.3836621,-3.7312978,,3,,,POINT (-3.7312978 40.3836621)
301999554,40.3838959,-3.7306209,,4,,,POINT (-3.7306209 40.3838959)
301999556,40.3840121,-3.7303753,,4,,,POINT (-3.7303753 40.3840121)
301999558,40.3826373,-3.7331849,,3,,,POINT (-3.7331849 40.3826373)
301999569,40.382154,-3.7304079,,3,,,POINT (-3.7304079 40.382154)
301999571,40.3821524,-3.733114,,3,,,POINT (-3.733114 40.3821524)
301999573,40.381746,-3.7307525,,3,,,POINT (-3.7307525 40.381746)
301999574,40.3816923,-3.7330564,,3,,,POINT (-3.7330564 40.3816923)
301999575,40.3816542,-3.7326859,,3,,,POINT (-3.7326859 40.3816542)
301999577,40.3815088,-3.7323587,,4,,,POINT (-3.7323587 40.3815088)
301999579,40.3820889,-3.732561,,4,,,POINT (-3.732561 40.3820889)
301999580,40.3825123,-3.7324419,,3,,,POINT (-3.7324419 40.3825123)
301999599,40.3802844,-3.732577,,3,,,POINT (-3.732577 40.3802844)
301999600,40.3812855,-3.7318522,,3,,,POINT (-3.7318522 40.3812855)
301999601,40.3806621,-3.7316183,,3,,,POINT (-3.7316183 40.3806621)
301999604,40.3813435,-3.7301894,,3,,,POINT (-3.7301894 40.3813435)
301999606,40.3809347,-3.728839,,3,,,POINT (-3.728839 40.3809347)
301999608,40.3821491,-3.7272932,,3,,,POINT (-3.7272932 40.3821491)
301999609,40.3847942,-3.7272919,,3,,,POINT (-3.7272919 40.3847942)
